order_id,customer_name,email,phone,city,state,product_name,category,price,quantity,order_date,delivery_date,payment_method,order_status,rating
0.0,Anjali Gupta,AnjaliGupta@gmail,+91-7499270951,delhi,Karnataka,Backpack,fashion,22873rs,-1.0,March 5 2024,2024/03/20,COD,Delivered,4.0
,karan sharma ,KaranSharma@gmail,72780 61669,mumbai ,Maharashtra,Tablet,Accessories,₹33354,-1.0,12-03-24,2024/03/20,Online,Delivered,3.0
2.0,Meena Jain,MeenaJain@gmail,83186 40980,Chennai,Tamil Nadu,Mobile,Electronics,40743,1.0,2024/03/15,,COD,Delivered,-1.0
,Priya Gupta,priyagupta14@outlook.com,69850 85460,Bangalore,Karnataka,Shoes,Electronics,₹16643,,March 5 2024,2024/03/20,cod,Delivered,7.0
,Arjun Singh,arjunsingh62.yahoo.com,8505824332,kolkata ,West Bengal,Headphones,fashion,42630,,March 5 2024,2024/03/20,Online,Pending,2.0
,Arjun Kumar,arjunkumar79@gmail.com,+91-7961224527,delhi,Maharashtra,Shoes,electronics,₹2858,1.0,March 5 2024,15-03-24,Online,Delivered,2.0
,Vikas Mehta,VIKASMEHTA80@GMAIL.COM,8621146708,Chennai,Tamil Nadu,Watch,Electronics,28340,3.0,12-03-24,15-03-24,Online,delivered,2.0
7.0,rahul agarwal ,RAHULAGARWAL66@OUTLOOK.COM,+91-6403138462,hyderabad ,Telangana,Laptop,Fashion,13596rs,1.0,March 5 2024,15-03-24,COD,Pending,4.0
,Karan Patel,KaranPatel@gmail,9664172958,delhi,Tamil Nadu,Headphones,accessories,40094rs,2.0,12-03-24,,COD,Delivered,5.0
9.0,Vikas Singh,VIKASSINGH67@YAHOO.COM,82415 15392,delhi,Karnataka,Laptop,accessories,14097,1.0,March 5 2024,,Online,Pending,4.0
,Meena Jain,MeenaJain@gmail,8556610409,mumbai ,Maharashtra,Camera,Accessories,₹44508,-1.0,12-03-24,15-03-24,Online,Delivered,7.0
11.0,Rohit Gupta,rohitgupta55@yahoo.com,+91-7685671813,Chennai,Tamil Nadu,Backpack,accessories,8342,3.0,12-03-24,15-03-24,Online,Pending,3.0
12.0,Priya Mehta,priyamehta46@outlook.com,+91-7137986071,delhi,Maharashtra,Backpack,electronics,20230,-1.0,12-03-24,,COD,Delivered,3.0
13.0,Amit Patel,amitpatel72@outlook.com,8974743966,delhi,West Bengal,Shoes,accessories,₹13614,2.0,March 5 2024,2024/03/20,Online,Pending,
,Neha Patel,NEHAPATEL79@OUTLOOK.COM,+91-6665038996,delhi,Tamil Nadu,Shoes,electronics,₹44374,-1.0,2024/03/15,,Online,delivered,2.0
15.0,Pooja Agarwal,poojaagarwal18.gmail.com,81091 86094,kolkata ,West Bengal,Tablet,Fashion,42244,2.0,12-03-24,,cod,delivered,5.0
,Sneha Sharma,snehasharma34@outlook.com,96297 57277,delhi,Telangana,Camera,fashion,17731rs,2.0,2024/03/15,15-03-24,Online,Delivered,5.0
17.0,Rohit Sharma,RohitSharma@gmail,74894 39765,delhi,Gujarat,Backpack,accessories,18573rs,2.0,12-03-24,2024/03/20,COD,Delivered,3.0
18.0,Arjun Verma,arjunverma83.gmail.com,+91-9977913161,delhi,Maharashtra,Camera,electronics,27233,1.0,12-03-24,2024/03/20,Online,Delivered,1.0
,rahul jain ,RAHULJAIN62@OUTLOOK.COM,8587730220,hyderabad ,Telangana,Backpack,electronics,7351,1.0,2024/03/15,15-03-24,cod,Pending,2.0
20.0,Sneha Sharma,snehasharma48@gmail.com,63149 73420,Delhi,Delhi,Mobile,Fashion,24314,2.0,March 5 2024,,Online,Pending,4.0
21.0,Neha Sharma,NEHASHARMA36@YAHOO.COM,8525162873,delhi,Gujarat,Mobile,Fashion,₹29112,-1.0,2024/03/15,,Online,Delivered,4.0
,Rohit Yadav,rohityadav50@outlook.com,+91-9035177206,delhi,Maharashtra,Mobile,Accessories,₹48656,1.0,12-03-24,,COD,delivered,
23.0,Anjali Mehta,AnjaliMehta@gmail,+91-9422591753,Delhi,Delhi,Shoes,Electronics,36721rs,1.0,2024/03/15,15-03-24,COD,Pending,-1.0
,Anjali Agarwal,ANJALIAGARWAL51@OUTLOOK.COM,9681958660,Chennai,Tamil Nadu,Tablet,Fashion,₹34108,3.0,2024/03/15,2024/03/20,COD,Pending,
25.0,Vikas Yadav,VIKASYADAV12@GMAIL.COM,86440 56546,delhi,Maharashtra,Backpack,Electronics,30401,1.0,12-03-24,,Online,delivered,-1.0
26.0,Amit Patel,AMITPATEL13@YAHOO.COM,84562 66834,delhi,Gujarat,Tablet,Accessories,43538,3.0,12-03-24,2024/03/20,cod,delivered,7.0
,Rohit Singh,ROHITSINGH36@GMAIL.COM,8609811509,delhi,Gujarat,Laptop,Electronics,45481,2.0,March 5 2024,2024/03/20,Online,Delivered,2.0
28.0,rohit yadav ,rohityadav15.yahoo.com,+91-9039669909,Mumbai,Maharashtra,Tablet,accessories,37915,,2024/03/15,15-03-24,COD,Pending,1.0
29.0,Meena Verma,meenaverma28.yahoo.com,72598 00224,Bangalore,Karnataka,Watch,Fashion,37758,-1.0,12-03-24,,cod,delivered,
30.0,Priya Agarwal,priyaagarwal69@yahoo.com,95089 71951,chennai ,Tamil Nadu,Tablet,Electronics,29326rs,,12-03-24,,COD,delivered,1.0
31.0,Arjun Gupta,ArjunGupta@gmail,72915 24441,Bangalore,Karnataka,Shoes,fashion,18150rs,2.0,March 5 2024,15-03-24,Online,delivered,-1.0
