"order_id";"customer_name";"email";"phone";"city";"state";"product_name";"category";"price";"quantity";"order_date";"delivery_date";"payment_method";"order_status";"rating"
7;"Rahul agarwal";"rahulagarwal66@outlook.com";"6403138462";"HYDERABAD";"Telangana";"Laptop";"FASHION";13596.0;1;"2024-03-05";"2024-03-15";"COD";"Pending";4
9;"Vikas singh";"vikassingh67@yahoo.com";"8241515392";"DELHI";"Karnataka";"Laptop";"ACCESSORIES";14097.0;1;"2024-03-05";"2024-03-15";"Online";"Pending";4
11;"Rohit gupta";"rohitgupta55@yahoo.com";"7685671813";"CHENNAI";"Tamil Nadu";"Backpack";"ACCESSORIES";8342.0;3;"2024-03-10";"2024-03-15";"Online";"Pending";3
12;"Priya mehta";"priyamehta46@outlook.com";"7137986071";"DELHI";"Maharashtra";"Backpack";"ELECTRONICS";20230.0;1;"2024-03-10";"2024-03-15";"COD";"Delivered";3
20;"Sneha sharma";"snehasharma48@gmail.com";"6314973420";"DELHI";"Delhi";"Mobile";"FASHION";24314.0;2;"2024-03-05";"2024-03-15";"Online";"Pending";4
21;"Neha sharma";"nehasharma36@yahoo.com";"8525162873";"DELHI";"Gujarat";"Mobile";"FASHION";29112.0;1;"2024-03-10";"2024-03-15";"Online";"Delivered";4
25;"Vikas yadav";"vikasyadav12@gmail.com";"8644056546";"DELHI";"Maharashtra";"Backpack";"ELECTRONICS";30401.0;1;"2024-03-10";"2024-03-15";"Online";"delivered";1
26;"Amit patel";"amitpatel13@yahoo.com";"8456266834";"DELHI";"Gujarat";"Tablet";"ACCESSORIES";43538.0;3;"2024-03-10";"2024-03-15";"cod";"delivered";1
30;"Priya agarwal";"priyaagarwal69@yahoo.com";"9508971951";"CHENNAI";"Tamil Nadu";"Tablet";"ELECTRONICS";29326.0;1;"2024-03-10";"2024-03-15";"COD";"delivered";1
32;"Rahul jain";"rahuljain35@outlook.com";"7875547879";"PUNE";"Maharashtra";"Backpack";"ELECTRONICS";21348.0;1;"2024-03-10";"2024-03-15";"cod";"Pending";5
33;"Karan agarwal";"karanagarwal91@yahoo.com";"7403951501";"AHMEDABAD";"Gujarat";"Laptop";"ACCESSORIES";23823.0;2;"2024-03-15";"2024-03-20";"cod";"delivered";1
35;"Sneha jain";"snehajain35@gmail.com";"8478232947";"AHMEDABAD";"Gujarat";"Mobile";"ACCESSORIES";48941.0;1;"2024-03-10";"2024-03-15";"Online";"delivered";2
39;"Sneha patel";"snehapatel90@gmail.com";"9025017706";"AHMEDABAD";"Gujarat";"Backpack";"FASHION";1406.0;2;"2024-03-10";"2024-03-15";"Online";"Delivered";1
41;"Anjali singh";"anjalisingh22@gmail.com";"7581716034";"DELHI";"Maharashtra";"Tablet";"ACCESSORIES";42933.0;2;"2024-03-05";"2024-03-15";"Online";"Pending";4
42;"Anjali mehta";"anjalimehta24@yahoo.com";"8394698635";"CHENNAI";"Tamil Nadu";"Shoes";"ELECTRONICS";37232.0;3;"2024-03-10";"2024-03-15";"Online";"Pending";2
48;"Priya sharma";"priyasharma75@gmail.com";"8882165054";"DELHI";"Maharashtra";"Camera";"FASHION";21300.0;1;"2024-03-10";"2024-03-15";"COD";"Pending";3
